Race_White,Age,Gender_Male,Undergraduate,Full-Time,Program_Label,GPA,Engagements,Internships,Industry_Label,From_Utah,Program_Score,Industry_Score,Job_Placement
1,21,1,1,1,Accounting,3.16,10,2,Government,0,0.9,-0.7,1
0,22,1,1,1,Data Analytics,3.8,7,3,Retail Trade,0,1.0,-0.2,1
1,23,1,1,1,Business Administration,3.44,5,1,Educational Services,0,0.4,0.4,0
1,25,1,1,0,Finance,3.85,6,1,Professional & Business Services,1,0.7,0.0,1
1,27,1,1,1,Management,3.68,4,1,Retail Trade,0,0.5,-0.2,1
1,22,1,0,1,Management,3.59,3,3,Transportation & Warehousing,1,0.5,0.8,1
1,28,0,0,1,Information Systems,3.29,10,3,Healthcare & Social Assistance,0,0.9,1.0,1
0,23,1,0,1,Management,3.14,1,2,Manufacturing,1,0.5,-0.6,1
1,24,1,0,0,International Business,3.36,3,2,Professional & Business Services,1,0.3,0.0,1
1,22,0,1,1,Economics,3.96,9,2,Professional & Business Services,0,0.6,0.0,1
1,17,1,1,1,Management,3.77,7,2,Leisure & Hospitality,1,0.5,-0.8,1
0,27,1,0,1,Information Systems,3.33,0,1,Professional & Business Services,1,0.9,0.0,0
1,26,1,0,1,Economics,3.37,0,2,Government,0,0.6,-0.7,1
1,23,0,0,1,International Business,3.22,5,1,Professional & Business Services,1,0.3,0.0,1
1,24,1,1,1,Information Systems,3.04,5,2,Transportation & Warehousing,1,0.9,0.8,1
1,26,1,1,1,Management,3.53,4,0,Professional & Business Services,1,0.5,0.0,1
1,19,1,0,0,Marketing,4.02,3,2,Information (Tech Sector),1,0.6,-0.5,0
1,22,0,1,0,Accounting,4.02,10,3,Government,1,0.9,-0.7,1
1,26,1,0,1,Management,3.68,3,2,Retail Trade,0,0.5,-0.2,1
1,20,1,1,0,Information Systems,3.32,5,2,Retail Trade,1,0.9,-0.2,0
1,25,0,1,1,Accounting,3.07,4,2,Construction,0,0.9,0.7,1
1,20,1,1,1,Accounting,3.81,2,2,Financial Activities,1,0.9,0.5,0
1,25,0,0,1,Economics,3.63,2,1,Healthcare & Social Assistance,1,0.6,1.0,1
1,24,1,1,1,International Business,3.41,9,2,Healthcare & Social Assistance,0,0.3,1.0,1
1,19,0,1,1,Management,3.36,9,1,Information (Tech Sector),0,0.5,-0.5,0
1,27,1,0,1,Finance,3.68,2,2,Healthcare & Social Assistance,0,0.7,1.0,1
1,22,0,1,1,Marketing,3.25,9,2,Professional & Business Services,0,0.6,0.0,1
1,22,0,0,0,International Business,3.57,2,2,Retail Trade,1,0.3,-0.2,0
1,25,1,1,1,Finance,3.13,6,2,Professional & Business Services,1,0.7,0.0,1
1,27,1,0,1,Finance,4.17,1,2,Leisure & Hospitality,0,0.7,-0.8,1
1,21,1,1,0,Data Analytics,3.29,9,2,Construction,1,1.0,0.7,1
1,24,1,0,1,Economics,3.69,1,1,Retail Trade,1,0.6,-0.2,1
1,25,1,0,1,Business,3.14,6,3,Financial Activities,1,0.5,0.5,1
0,26,1,1,0,Business Administration,3.45,8,2,Healthcare & Social Assistance,0,0.4,1.0,1
0,25,1,1,1,Business Administration,3.77,1,1,Financial Activities,1,0.4,0.5,1
1,23,1,1,1,Economics,3.83,4,2,Manufacturing,1,0.6,-0.6,1
1,22,1,1,1,Economics,3.73,0,2,Professional & Business Services,1,0.6,0.0,0
1,24,0,0,0,Finance,3.46,7,3,Transportation & Warehousing,0,0.7,0.8,1
1,21,1,1,1,Economics,3.3,3,2,Manufacturing,1,0.6,-0.6,1
1,15,1,1,0,Finance,3.18,6,0,Financial Activities,1,0.7,0.5,0
1,25,1,1,1,International Business,3.95,9,1,Transportation & Warehousing,0,0.3,0.8,1
1,27,1,0,1,Business,3.53,3,2,Leisure & Hospitality,0,0.5,-0.8,1
1,17,1,0,0,Data Analytics,3.59,0,3,Healthcare & Social Assistance,0,1.0,1.0,0
0,21,1,1,1,Finance,3.85,7,2,Professional & Business Services,0,0.7,0.0,1
1,26,1,1,1,Economics,3.68,8,1,Professional & Business Services,1,0.6,0.0,1
1,30,0,1,1,Accounting,3.46,10,2,Transportation & Warehousing,1,0.9,0.8,1
1,24,1,1,0,Management,3.72,2,2,Professional & Business Services,1,0.5,0.0,0
1,22,0,1,1,Business Administration,3.31,4,0,Financial Activities,0,0.4,0.5,0
1,23,0,1,1,Business,3.03,8,1,Leisure & Hospitality,1,0.5,-0.8,1
1,28,0,1,1,Management,3.92,8,1,Government,0,0.5,-0.7,1
0,22,0,1,0,Information Systems,3.34,6,1,Government,0,0.9,-0.7,1
1,22,1,1,1,Economics,3.41,3,0,Transportation & Warehousing,1,0.6,0.8,0
0,23,1,1,1,Finance,3.44,3,0,Healthcare & Social Assistance,1,0.7,1.0,0
0,21,0,1,1,Data Analytics,3.32,1,3,Transportation & Warehousing,1,1.0,0.8,0
1,24,1,0,1,Accounting,3.83,9,1,Educational Services,1,0.9,0.4,1
0,29,1,1,1,Data Analytics,3.61,2,1,Professional & Business Services,1,1.0,0.0,1
1,25,0,1,1,Management,3.41,6,1,Professional & Business Services,0,0.5,0.0,1
1,23,0,1,1,Accounting,3.12,6,1,Government,1,0.9,-0.7,1
1,23,0,0,0,Marketing,3.59,4,2,Manufacturing,1,0.6,-0.6,0
1,19,0,0,0,Business Administration,2.76,4,1,Transportation & Warehousing,1,0.4,0.8,0
1,27,0,1,1,Economics,3.57,7,2,Healthcare & Social Assistance,0,0.6,1.0,1
1,24,1,1,0,Information Systems,3.9,4,2,Government,0,0.9,-0.7,1
1,23,0,1,1,Management,3.52,3,1,Transportation & Warehousing,0,0.5,0.8,1
1,34,1,1,0,Finance,3.86,4,2,Financial Activities,0,0.7,0.5,1
1,25,1,1,1,Business Administration,3.13,8,2,Retail Trade,1,0.4,-0.2,1
1,22,0,1,1,Information Systems,4.11,10,1,Healthcare & Social Assistance,1,0.9,1.0,1
1,23,1,1,0,Data Analytics,3.83,6,2,Healthcare & Social Assistance,1,1.0,1.0,1
1,27,1,1,0,Business Administration,3.64,8,2,Information (Tech Sector),1,0.4,-0.5,1
1,24,1,1,1,Information Systems,3.32,5,2,Manufacturing,0,0.9,-0.6,1
